ranking_companies,unicorn,date_joined,country,city,industry,selected_investors,value,lat,lng,capital,population,id_city,year
528,AIWAYS,2018-04-16,China,Shanghai,Auto & transportation,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology",1.78,31.1667,121.4667,admin,22120000.0,1156073548,2018
529,Trulioo,2021-06-07,Canada,Vancouver,Cybersecurity,"Blumberg Capital, American Express Ventures, BDC Venture Capital",1.75,49.25,-123.1,,2264823.0,1124825478,2021
530,Spinny,2021-11-24,India,Gurgaon,E-commerce & direct-to-consumer,"General Catalyst, Eleation Capital, Avenir Growth Capital",1.75,28.45,77.02,,197340.0,1356836043,2021
531,Crusoe,2022-04-21,United States,Denver,Internet software & services,"Bain Capital Ventures, Founders Fund, Winklevoss Capital",1.75,39.7621,-104.8759,admin,2876625.0,1840018789,2022
532,Orca Security,2021-03-23,United States,Portland,Cybersecurity,"YL Ventures, Redpoint Ventures, GGV Capital",1.8,45.5372,-122.65,,2074775.0,1840019941,2021
533,Apus Group,2015-01-16,China,Beijing,Mobile & telecommunications,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital",1.73,39.905,116.3914,primary,19433000.0,1156228865,2015
534,Harry's,2018-02-16,United States,New York,Consumer & retail,"Thrive Capital, Tiger Global Management, Temasek",1.7,40.6943,-73.9249,,18713220.0,1840034016,2018
535,PAX,2018-10-22,United States,San Francisco,Consumer & retail,"Tao Capital Partners, Global Asset Capital, Tiger Global Management",1.7,37.7562,-122.443,,3592294.0,1840021543,2018
536,DispatchHealth,2021-03-03,United States,Denver,Health,"Alta Partners, Questa Capital, Echo Health Ventures",1.7,39.7621,-104.8759,admin,2876625.0,1840018789,2021
537,Saliogen Therapeutics,2021-12-07,United States,Cambridge,Health,"PBM Capital Group, T. Rowe Price, D1 Capital Partners",1.7,42.3759,-71.1185,,118927.0,1840000429,2021
538,Pax8,2022-04-11,United States,Greenwood Village,Internet software & services,"Liberty Global Ventures, Sageview Capital, Blue Cloud Ventures",1.7,39.6152,-104.913,,15735.0,1840020212,2022
539,Multiverse,2022-06-08,United Kingdom,London,Edtech,"Lightspeed Venture Partners, Google Ventures, General Catalyst",1.7,51.5072,-0.1275,primary,10979000.0,1826645935,2022
540,Tessera Therapeutics,2022-04-19,United States,Cambridge,Health,"Altitude Life Science Ventures, SoftBank Group, Alaska Permanent Fund",1.69,42.3759,-71.1185,,118927.0,1840000429,2022
541,Unite Us,2021-03-16,United States,New York,Health,"Insight Partners, Sequoia Capital, Index Ventures",1.6,40.6943,-73.9249,,18713220.0,1840034016,2021
542,CircleCI,2021-05-11,United States,San Francisco,Internet software & services,"Threshold Ventures, Baseline Ventures, Harrison Metal",1.7,37.7562,-122.443,,3592294.0,1840021543,2021
543,Wave,2021-09-07,Senegal,Dakar,Fintech,"Stripe, Founders Fund, Partech Partners",1.7,14.7319,-17.4572,primary,1146053.0,1686604760,2021
544,Vestiaire Collective,2021-03-01,France,Paris,E-commerce & direct-to-consumer,"Eurazeo, IDInvest Partners, Balderton Capital",1.7,48.8566,2.3522,primary,11020000.0,1250015082,2021
545,Dragos,2021-10-28,United States,Hanover,Cybersecurity,"DataTribe, Energy Impact Partners, AllegisCyber Capital",1.7,39.8117,-76.9835,,68165.0,1840001450,2021
546,Reltio,2021-11-04,United States,Redwood City,Data management & analytics,"Crosslink Capital, .406 Ventures, Sapphire Ventures",1.7,37.5026,-122.2252,,85925.0,1840020304,2021
547,H2O.ai,2021-11-07,United States,Mountain View,Artificial Intelligence,"Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners",1.7,37.4,-122.0796,,82739.0,1840020332,2021
548,ZenBusiness,2021-11-09,United States,Austin,Fintech,"Greycroft, Lerer Hippeau, Geekdom Fund",1.7,30.3004,-97.7522,admin,1687311.0,1840019590,2021
549,Carsome,2021-07-12,Malaysia,Petaling Jaya,E-commerce & direct-to-consumer,"Gobi Partners, 500 Startups, Ondine Capital",1.7,3.1073,101.6067,,638516.0,1458989343,2021
